,12,24,36,48,60,72,84,96,108,120
2001-01-01,357848.0,1124788.0,1735330.0,2218270.0,2745596.0,3319994.0,3466336.0,3606286.0,3833515.0,3901463.0
2002-01-01,352118.0,1236139.0,2170033.0,3353322.0,3799067.0,4120063.0,4647867.0,4914039.0,5339085.0,
2003-01-01,290507.0,1292306.0,2218525.0,3235179.0,3985995.0,4132918.0,4628910.0,4909315.0,,
2004-01-01,310608.0,1418858.0,2195047.0,3757447.0,4029929.0,4381982.0,4588268.0,,,
2005-01-01,443160.0,1136350.0,2128333.0,2897821.0,3402672.0,3873311.0,,,,
2006-01-01,396132.0,1333217.0,2180715.0,2985752.0,3691712.0,,,,,
2007-01-01,440832.0,1288463.0,2419861.0,3483130.0,,,,,,
2008-01-01,359480.0,1421128.0,2864498.0,,,,,,,
2009-01-01,376686.0,1363294.0,,,,,,,,
2010-01-01,344014.0,,,,,,,,,
